station,ligne1,ligne2
ARTSETMETIERS,3,11
BARBESROCHECHOUART,2,4
BASTILLE,1,5
BASTILLE,1,8
BASTILLE,5,8
BELLEVILLE,2,11
BERCY,6,14
BONNENOUVELLE,8,9
CHAMPSELYSEESCLEMENCEAU,1,13
CHARLESDEGAULLEETOILE,1,2
CHARLESDEGAULLEETOILE,1,6
CHARLESDEGAULLEETOILE,2,6
CHATELET,1,4
CHATELET,1,7
CHATELET,1,11
CHATELET,1,14
CHATELET,4,7
CHATELET,4,11
CHATELET,4,14
CHATELET,7,11
CHATELET,7,14
CHATELET,11,14
CHAUSSEEDANTINLAFAYETTE,7,9
CONCORDE,1,8
CONCORDE,1,12
CONCORDE,8,12
DAUMESNIL,6,8
DENFERTROCHEREAU,4,6
DUROC,10,13
FRANKLINDROOSEVELT,1,9
GAMBETTA,3,3bis
GAREDAUSTERLITZ,5,10
GAREDELEST,4,5
GAREDELEST,4,7
GAREDELEST,5,7
GAREDELYON,1,14
GAREDUNORD,4,5
GRANDSBOULEVARDS,8,9
HAVRECAUMARTIN,3,9
HOTELDEVILLE,1,11
INVALIDES,8,13
JAURES,2,5
JAURES,2,7bis
JAURES,5,7bis
JUSSIEU,7,10
LAMOTTEPICQUETGRENELLE,6,8
LAMOTTEPICQUETGRENELLE,6,10
LAMOTTEPICQUETGRENELLE,8,10
LOUISBLANC,7,7bis
MADELEINE,8,12
MADELEINE,8,14
MADELEINE,12,14
MARCADETPOISSONNIERS,4,12
MICHELANGEAUTEUIL,9,10
MICHELANGEMOLITOR,9,10
MIROMESNIL,9,13
MONTPARNASSEBIENVENUE,4,6
MONTPARNASSEBIENVENUE,4,12
MONTPARNASSEBIENVENUE,4,13
MONTPARNASSEBIENVENUE,6,12
MONTPARNASSEBIENVENUE,6,13
MONTPARNASSEBIENVENUE,12,13
NATION,1,2
NATION,1,6
NATION,1,9
NATION,2,6
NATION,2,9
NATION,6,9
OBERKAMPF,5,9
ODEON,4,10
OPERA,3,7
OPERA,3,8
OPERA,7,8
PALAISROYALMUSEEDULOUVRE,1,7
PASTEUR,6,12
PERELACHAISE,2,3
PIGALLE,2,12
PLACEDECLICHY,2,13
PLACEDESFETES,11,7bis
PLACEDITALIE,5,6
PLACEDITALIE,5,7
PLACEDITALIE,6,7
PORTEDESLILAS,11,3bis
PYRAMIDES,7,14
RASPAIL,4,6
REAUMURSEBASTOPOL,3,4
REPUBLIQUE,3,5
REPUBLIQUE,3,8
REPUBLIQUE,3,9
REPUBLIQUE,3,11
REPUBLIQUE,5,8
REPUBLIQUE,5,9
REPUBLIQUE,5,11
REPUBLIQUE,8,9
REPUBLIQUE,8,11
REPUBLIQUE,9,11
REUILLYDIDEROT,1,8
RICHELIEUDROUOT,8,9
SEVRESBABYLONE,10,12
STALINGRAD,2,5
STALINGRAD,2,7
STALINGRAD,5,7
STLAZARE,3,12
STLAZARE,3,13
STLAZARE,3,14
STLAZARE,12,13
STLAZARE,12,14
STLAZARE,13,14
STRASBOURGSTDENIS,4,8
STRASBOURGSTDENIS,4,9
STRASBOURGSTDENIS,8,9
TROCADERO,6,9
VILLIERS,2,3
